wavelength(eV);psi;tan(psi);delta;cos(delta)
1.405167239;5.508848082;0.09644491;1.346592288;0.99972383
1.403919817;5.607304996;0.098179581;1.683222338;0.999568504
1.402674607;5.58190602;0.097732032;1.533229198;0.999641975
1.401431604;5.610189334;0.098230408;1.688826795;0.999565626
1.400190802;5.598081397;0.09801705;1.605692977;0.999607336
1.398952195;5.608449031;0.098199741;1.908405548;0.999445341
1.397715778;5.607253167;0.098178668;1.643908318;0.999588424
1.396481544;5.614809463;0.098311823;1.650751632;0.99958499
1.395249488;5.610798774;0.098241147;1.683647985;0.999568286
1.394019604;5.616310911;0.098338281;1.491334309;0.999661273
1.392791887;5.623817924;0.098470572;1.533581535;0.999641811
1.39156633;5.617911043;0.098366479;1.564890543;0.999627037
1.390342928;5.627991483;0.098544121;1.622468177;0.999599089
1.389121675;5.64118748;0.098776677;1.719990421;0.999549449
1.387902566;5.618256881;0.098372573;1.483395329;0.999664869
1.386685595;5.626618642;0.098519928;1.871242245;0.999466731
1.385470756;5.618171381;0.098371067;1.660558467;0.999580045
1.384258043;5.636172304;0.098688292;1.787460339;0.999513411
1.383047452;5.609191163;0.098212818;1.892391418;0.99945461
1.381838977;5.616327041;0.098338566;1.591926638;0.999614039
1.380632611;5.622079302;0.098439933;1.79242685;0.999510703
1.37942835;5.632895175;0.098630539;1.904818837;0.999447424
1.378226188;5.617867062;0.098365704;1.496009494;0.999659146
1.37702612;5.624932759;0.098490218;1.592349362;0.999613834
1.37582814;5.618525478;0.098377307;1.687431716;0.999566344
1.374632242;5.614454715;0.098305571;1.571251828;0.999623999
1.373438421;5.623859989;0.098471313;1.627000232;0.999596846
1.372246672;5.614956415;0.098314412;1.530985008;0.999643023
1.37105699;5.62183667;0.098435658;1.510978069;0.999652291
1.369869369;5.626519581;0.098518182;1.840561673;0.999484073
1.368683803;5.612291082;0.098267444;1.346579892;0.999723835
1.367500288;5.609566686;0.098219435;1.564973595;0.999626997
1.366318817;5.619322862;0.098391358;1.533193095;0.999641992
1.365139387;5.624169666;0.098476771;1.558438441;0.999630106
1.363961991;5.625135865;0.098493798;1.819651439;0.999495728
1.362786624;5.630269845;0.098584273;1.613590607;0.999603464
1.361613281;5.621520683;0.098430089;1.81411397;0.999498792
1.360441956;5.628017084;0.098544573;1.704398369;0.99955758
1.359272646;5.632513419;0.098623811;1.768659914;0.999523592
1.358105343;5.645583495;0.098854151;1.524590805;0.999645998
1.356940044;5.633533769;0.098641793;1.813868825;0.999498928
1.355776743;5.624473471;0.098482125;1.749071261;0.999534086
1.354615434;5.643893309;0.098824363;1.793326232;0.999510212
1.353456114;5.644671908;0.098838085;1.767873184;0.999524016
1.352298776;5.627389899;0.09853352;1.785813448;0.999514307
1.351143416;5.624449218;0.098481697;1.759374945;0.999528581
1.349990028;5.628430229;0.098551853;1.461256892;0.999674797
1.348838608;5.631178537;0.098600286;1.668410626;0.999576064
1.34768915;5.618996478;0.098385607;1.817701701;0.999496808
1.346541649;5.598528808;0.098024933;1.725215549;0.999546707
1.345396101;5.634447408;0.098657894;1.303359856;0.999741277
1.344252501;5.625567299;0.098501401;1.400499797;0.999701277
1.343110843;5.637513718;0.098711932;1.963635979;0.999412775
1.341971122;5.619731394;0.098398558;1.763182424;0.999526538
1.340833334;5.635156428;0.098670389;1.414509778;0.99969527
1.339697474;5.625104292;0.098493241;1.417671673;0.999693907
1.338563537;5.627615589;0.098537497;1.921076977;0.999437952
1.337431517;5.628615528;0.098555119;1.418406862;0.999693589
1.336301411;5.649864664;0.098929602;1.193763252;0.999782957
1.335173213;5.630573202;0.098589619;1.525395009;0.999645624
1.334046918;5.616458784;0.098340887;1.933379714;0.999430731
1.332922522;5.645285413;0.098848898;1.382316049;0.999708983
1.331800019;5.636303842;0.09869061;1.179103399;0.999788255
1.330679406;5.643922807;0.098824883;1.685787495;0.999567188
1.329560677;5.638995672;0.098738049;1.733193743;0.999542506
1.328443827;5.635188723;0.098670958;1.133791531;0.999804216
1.327328853;5.640426526;0.098763266;1.478822126;0.999666932
1.326215748;5.604043241;0.098122104;1.779178166;0.999517909
1.325104508;5.654209726;0.099006181;1.786059017;0.999514174
1.323995129;5.645393547;0.098850803;1.298765911;0.999743098
1.322887607;5.644952962;0.098843038;1.653804406;0.999583454
1.321781935;5.621346679;0.098427023;1.863985741;0.999470859
1.32067811;5.624306496;0.098479182;1.689347269;0.999565359
1.319576128;5.661869495;0.099141181;1.929068342;0.999433266
1.318475983;5.622111466;0.0984405;1.203861598;0.99977927
1.31737767;5.636439092;0.098692994;1.693603782;0.999563166
1.316281186;5.616212412;0.098336546;1.420434319;0.999692713
1.315186526;5.677915333;0.099423994;1.381167502;0.999709466
1.314093685;5.631783265;0.098610944;1.986116715;0.999399254
1.313002658;5.633037086;0.09863304;1.928384852;0.999433668
1.311913442;5.647763332;0.098892568;1.379412574;0.999710204
1.310826031;5.652056696;0.098968235;1.15782228;0.999795829
1.309740422;5.641878578;0.098788856;1.392306691;0.999704761
1.308656609;5.646340096;0.098867485;1.292519313;0.999745563
1.307574589;5.652607615;0.098977944;1.333258373;0.999729272
1.306494356;5.650484258;0.098940522;1.148979525;0.999798936
1.305415906;5.613834066;0.098294634;1.681726151;0.999569271
1.304339236;5.635149877;0.098670274;1.938795406;0.999427537
1.30326434;5.650594291;0.098942461;1.277568388;0.999751415
1.302191214;5.656292148;0.099042882;1.303383068;0.999741268
1.301119854;5.643927127;0.098824959;1.294145754;0.999744922
1.300050256;5.645998824;0.098861471;1.998350969;0.999391831
1.298982414;5.658153293;0.099075684;1.142322062;0.999801259
1.297916326;5.610412724;0.098234344;1.336231514;0.999728063
1.296851986;5.629233293;0.098566006;1.944823323;0.999423972
1.29578939;5.635495515;0.098676365;1.236104289;0.999767288
1.294728534;5.685775491;0.099562538;1.937954429;0.999428034
1.293669413;5.614308993;0.098303003;0.951990172;0.999861968
1.292612024;5.61784257;0.098365272;1.425294017;0.999690606
1.291556362;5.655163804;0.099022996;1.208009645;0.999777746
1.290502423;5.697497014;0.099769149;1.795144286;0.999509219
1.289450202;5.620606638;0.098413981;1.816092107;0.999497699
1.288399696;5.632334236;0.098620653;1.18824689;0.999784958
1.287350901;5.683724514;0.099526387;1.451571317;0.999679094
1.286303811;5.655865432;0.099035361;1.677260037;0.999571556
1.285258423;5.649015296;0.098914633;1.653941709;0.999583385
1.284214734;5.628797698;0.098558329;1.458538146;0.999676006
1.283172737;5.667883083;0.099247171;1.263991079;0.99975667
1.282132431;5.679093536;0.099444761;1.93437194;0.999430146
1.28109381;5.635361824;0.098674009;1.349667221;0.999722567
1.28005687;5.660273005;0.099113043;1.793015214;0.999510382
1.279021607;5.661878913;0.099141347;1.203151591;0.99977953
1.277988018;5.648316108;0.09890231;1.753047909;0.999531965
1.276956098;5.633494491;0.098641101;1.704814663;0.999557364
1.275925843;5.663537444;0.099170578;1.476307797;0.999668064
1.274897249;5.671674459;0.099313995;1.369018263;0.999714555
1.273870312;5.657752405;0.099068618;1.12822929;0.999806132
1.272845028;5.663438871;0.099168841;1.371653043;0.999713455
1.271821394;5.659379618;0.099097297;1.599071371;0.999610567
1.270799404;5.677936814;0.099424373;1.083473252;0.999821208
