wavelength (eV);psi;tan(psi);delta;cos(delta)
2.115781631;2.45952482;0.042953193;173.4450582;-0.993462847
2.112954771;2.439067333;0.042595489;173.632957;-0.993831873
2.110135454;2.434225927;0.042510838;173.9216968;-0.994378113
2.107323651;2.434072752;0.042508159;173.8905781;-0.994320456
2.104519331;2.455065574;0.042875221;173.6283116;-0.993822878
2.101722466;2.445986061;0.042716463;174.2500535;-0.994968612
2.098933024;2.4426176;0.042657565;173.7573458;-0.994070288
2.096150977;2.448907429;0.042767544;173.2684333;-0.99310622
2.093376295;2.444966294;0.042698633;173.2163763;-0.99299931
2.090608949;2.436556904;0.042551594;173.2477069;-0.993063752
2.08784891;2.426013475;0.042367245;174.0176795;-0.994554102
2.085096149;2.442602229;0.042657297;173.3541559;-0.993280483
2.082350637;2.434230547;0.042510918;173.3475707;-0.993267175
2.079612346;2.440114639;0.042613801;173.5140919;-0.993599668
2.076881248;2.42722511;0.04238843;173.9757428;-0.994477552
2.074157313;2.441919408;0.042645358;173.8109017;-0.994171495
2.071440514;2.433927597;0.042505621;173.2063607;-0.992978647
2.068730823;2.433129991;0.042491675;174.0793315;-0.994665672
2.066028212;2.434398989;0.042513864;174.1147901;-0.994729319
2.063332653;2.424416777;0.042339327;174.1329234;-0.99476172
2.060644118;2.408996286;0.04206971;173.4295482;-0.993431908
2.057962581;2.425989116;0.042366819;173.3369462;-0.993245676
2.055288014;2.433870278;0.042504619;173.457324;-0.993487262
2.05262039;2.439912048;0.042610259;173.4197155;-0.993412257
2.049959681;2.415979392;0.042191804;173.8893967;-0.994318262
2.047305862;2.413470981;0.042147946;173.7140916;-0.993987914
2.044658905;2.420116174;0.042264133;173.9686407;-0.994464535
2.042018783;2.434290389;0.042511965;173.6952128;-0.993951783
2.03938547;2.427263025;0.042389093;173.3466501;-0.993265313
2.036758941;2.415923034;0.042190819;173.9600955;-0.994448854
2.034139168;2.422851384;0.042311957;173.924702;-0.994383665
2.031526126;2.426252183;0.042371419;174.1155575;-0.994730692
2.028919788;2.400853422;0.041927339;174.0825121;-0.994671396
2.02632013;2.412189677;0.042125544;174.2208753;-0.994917462
2.023727125;2.426280199;0.042371909;173.5291241;-0.99362927
2.021140748;2.42851819;0.042411039;173.6311769;-0.993828427
2.018560973;2.424722997;0.042344682;173.6482244;-0.993861388
2.015987776;2.412695265;0.042134384;173.3425918;-0.993257104
2.013421131;2.421746928;0.042292646;173.5059563;-0.993583619
2.010861012;2.398754049;0.041890634;173.6004877;-0.993768868
2.008307396;2.408573093;0.042062311;174.0499348;-0.994612617
2.005760258;2.412916504;0.042138252;173.742663;-0.994042389
2.003219572;2.40789311;0.042050422;174.1138686;-0.994727669
2.000685315;2.415019947;0.042175029;174.3766497;-0.995187548
1.998157462;2.407313522;0.042040288;174.0360031;-0.994587382
1.995635989;2.416777612;0.042205761;173.2961281;-0.993162763
1.993120871;2.40410824;0.041984247;173.4851009;-0.993542385
1.990612085;2.407438109;0.042042466;173.9475316;-0.994425757
