wavelength (eV);psi;tan(Psi);delta;cos(Delta)
1.494113947;9.896341319;0.174462139;179.0733571;-0.99986922
1.492703683;9.894811985;0.174434634;179.0109756;-0.99985102
1.491296078;9.897226965;0.174478066;179.0863127;-0.999872852
1.489891125;9.883829225;0.174237123;179.0757875;-0.999869905
1.488488817;9.890174122;0.174351227;178.9529242;-0.999833018
1.487089146;9.893567452;0.174412252;179.2210748;-0.999907592
1.485692105;9.89674817;0.174469456;178.9672007;-0.999837541
1.484297686;9.888027393;0.17431262;179.1350094;-0.999886043
1.482905883;9.889623948;0.174341332;178.9640893;-0.99983656
1.481516687;9.884435783;0.174248031;179.1511749;-0.999890263
1.480130091;9.882207895;0.174207967;178.9626421;-0.999836103
1.478746089;9.905150342;0.174620569;178.9559215;-0.999833973
1.477364672;9.896212528;0.174459822;179.067811;-0.99986765
1.475985834;9.897323762;0.174479807;179.1207094;-0.999882245
1.474609568;9.872766931;0.174038195;179.2907212;-0.999923378
1.473235865;9.876881607;0.174112186;179.1474892;-0.999889308
1.47186472;9.893241017;0.174406382;179.2213915;-0.999907667
1.470496124;9.890909876;0.174364458;179.026654;-0.999855706
1.469130072;9.883555287;0.174232197;179.0827116;-0.999871847
1.467766554;9.925786932;0.174991751;178.7187077;-0.999749964
1.466405566;9.893784945;0.174416164;178.96117;-0.999835638
1.465047099;9.901020459;0.174546292;179.3908696;-0.999943488
1.463691147;9.848776738;0.173606836;179.1896468;-0.999899985
1.462337703;9.880905967;0.174184554;178.9999935;-0.999847693
1.460986759;9.865311278;0.173904131;178.8838336;-0.999810256
1.459638309;9.897599269;0.174484762;179.3492422;-0.9999355
1.458292345;9.848949663;0.173609945;178.8357361;-0.999793551
1.456948862;9.886124796;0.174278405;178.7682071;-0.999768909
1.455607852;9.86975238;0.173983988;179.0292864;-0.999856485
1.454269308;9.941889366;0.175281412;178.9429254;-0.999829814
1.452933224;9.871835471;0.174021446;179.0649789;-0.999866845
1.451599593;9.880751822;0.174181782;178.9044162;-0.999817189
1.450268407;9.898192664;0.174495434;179.1705217;-0.999895208
1.448939661;9.852803851;0.173679242;179.3230731;-0.999930208
1.447613347;9.891447179;0.174374121;178.968719;-0.999838018
1.44628946;9.877930416;0.174131046;178.7714896;-0.999770139
1.444967991;9.915753562;0.174811279;178.9701878;-0.999838479
1.443648936;9.864991354;0.173898378;179.2536423;-0.999915158
1.442332286;9.876111561;0.174098338;179.0739685;-0.999869393
1.441018036;9.913590104;0.174772366;178.9835786;-0.999842652
1.439706178;9.876976792;0.174113897;179.2016502;-0.999902926
1.438396707;9.861606808;0.173837521;179.2701567;-0.999918871
1.437089616;9.862750361;0.173858083;179.1679255;-0.999894551
1.435784898;9.881495895;0.174195163;179.0816289;-0.999871545
1.434482547;9.851689138;0.1736592;179.270606;-0.99991897
1.433182557;9.86648646;0.173925262;179.3046157;-0.999926351
1.431884921;9.871551449;0.174016338;179.0827496;-0.999871858
1.430589632;9.878269805;0.174137149;179.0395559;-0.999859506
1.429296685;9.88280383;0.174218683;179.2126809;-0.99990559
1.428006073;9.856257199;0.173741333;179.130604;-0.99988488
1.426717789;9.895792961;0.174452277;178.9460912;-0.999830832
1.425431828;9.864302266;0.173885988;178.9434971;-0.999829998
1.424148183;9.874380274;0.174067206;178.9949577;-0.999846155
1.422866848;9.842333604;0.173490995;179.0858673;-0.999872728
1.421587816;9.875667936;0.174090361;179.0054748;-0.999849358
1.420311082;9.876955513;0.174113515;179.1098621;-0.999879321
1.419036639;9.852367669;0.173671399;179.1889633;-0.999899816
1.417764481;9.868077019;0.173953862;179.0275828;-0.999855981
1.416494602;9.86434975;0.173886842;179.1464394;-0.999889035
1.415226995;9.866435165;0.17392434;179.1551958;-0.9998913
1.413961656;9.847399342;0.173582072;179.1669953;-0.999894315
1.412698577;9.863509645;0.173871736;179.1249275;-0.999883372
1.411437753;9.86304125;0.173863313;179.1772492;-0.999896901
1.410179177;9.849465204;0.173619214;179.167176;-0.999894361
1.408922844;9.858642941;0.173784229;179.163939;-0.999893538
1.407668747;9.862985331;0.173862308;179.1819806;-0.999898083
1.406416881;9.879592452;0.174160934;179.1622902;-0.999893118
1.405167239;9.867018075;0.173934821;179.1308291;-0.999884939
1.403919817;9.861061946;0.173827724;179.1170443;-0.999881261
1.402674607;9.865493864;0.173907414;179.1819084;-0.999898065
1.401431604;9.855080293;0.173720172;179.1352255;-0.9998861
1.400190802;9.860258081;0.17381327;179.1193189;-0.999881872
1.398952195;9.869924715;0.173987087;178.979735;-0.99984146
1.397715778;9.881149847;0.17418894;179.2014339;-0.999902873
1.396481544;9.873207105;0.17404611;179.1859029;-0.999899058
1.395249488;9.864003821;0.173880621;179.1239799;-0.999883119
1.394019604;9.862971578;0.173862061;179.2068966;-0.999904197
1.392791887;9.868597491;0.173963221;179.151351;-0.999890308
1.39156633;9.858037299;0.173773339;179.1978273;-0.999901994
1.390342928;9.859513258;0.173799878;179.1964398;-0.999901655
1.389121675;9.865975644;0.173916077;179.0584859;-0.999864989
1.387902566;9.856051038;0.173737626;179.1329307;-0.999885495
1.386685595;9.857819138;0.173769417;179.1016907;-0.999877096
1.385470756;9.856776406;0.173750668;179.1308314;-0.99988494
1.384258043;9.860404993;0.173815912;179.0539844;-0.999863695
1.383047452;9.873669769;0.17405443;179.0387985;-0.999859284
1.381838977;9.84584164;0.173554066;179.1501657;-0.999890002
1.380632611;9.868268848;0.173957312;179.0689191;-0.999867965
1.37942835;9.850194833;0.173632333;178.9149986;-0.999820703
1.378226188;9.856419776;0.173744256;179.1827057;-0.999898264
1.37702612;9.850817711;0.173643532;179.1330811;-0.999885535
1.37582814;9.858460103;0.173780942;179.1547111;-0.999891175
1.374632242;9.864557976;0.173890586;179.1547091;-0.999891175
1.373438421;9.854072501;0.173702052;179.1440393;-0.99988841
1.372246672;9.85194967;0.173663884;179.1585813;-0.99989217
1.37105699;9.854415452;0.173708218;179.1937785;-0.999901002
1.369869369;9.861007804;0.173826751;179.0797626;-0.999871022
1.368683803;9.850136973;0.173631292;179.2623365;-0.999917123
1.367500288;9.863167857;0.17386559;179.130533;-0.999884861
1.366318817;9.860543629;0.173818404;179.2228993;-0.999908024
1.365139387;9.85793517;0.173771503;179.2043863;-0.99990359
1.363961991;9.846423212;0.173564522;179.0324578;-0.999857421
1.362786624;9.844398429;0.173528118;179.1167804;-0.99988119
1.361613281;9.860767368;0.173822427;179.0555721;-0.999864152
1.360441956;9.855045483;0.173719546;179.1748405;-0.999896297
1.359272646;9.851544652;0.173656602;179.056289;-0.999864358
1.358105343;9.854268019;0.173705567;179.1706725;-0.999895246
1.356940044;9.848177247;0.173596058;179.0502844;-0.999862627
1.355776743;9.856171222;0.173739787;179.1078327;-0.99987877
1.354615434;9.854863389;0.173716272;179.0360282;-0.999858472
1.353456114;9.856906431;0.173753006;179.093727;-0.999874907
1.352298776;9.842880665;0.173500831;179.0365207;-0.999858616
1.351143416;9.854719423;0.173713683;179.0734294;-0.999869241
1.349990028;9.853871828;0.173698444;179.1680929;-0.999894594
1.348838608;9.840796415;0.173463359;179.0894075;-0.999873712
1.34768915;9.85118557;0.173650146;179.099209;-0.999876416
1.346541649;9.858115137;0.173774739;179.0072716;-0.999849902
1.345396101;9.846308131;0.173562453;179.3470853;-0.999935072
1.344252501;9.847634332;0.173586296;179.1839237;-0.999898567
1.343110843;9.859789821;0.17380485;179.1295487;-0.9998846
1.341971122;9.848142771;0.173595438;179.0223891;-0.999854439
1.340833334;9.837000212;0.17339511;179.2517192;-0.99991472
1.339697474;9.797675884;0.172688219;179.3697376;-0.999939499
1.338563537;9.869358738;0.17397691;179.0017574;-0.99984823
1.337431517;9.874397621;0.174067518;179.2597945;-0.999916551
1.336301411;9.83784879;0.173410366;179.174014;-0.999896089
1.335173213;9.840989326;0.173466827;179.2413908;-0.999912349
1.334046918;9.843682789;0.173515252;178.9325121;-0.999826445
1.332922522;9.876071677;0.174097621;179.2278123;-0.999909184
1.331800019;9.8397882;0.173445233;179.373061;-0.999940135
1.330679406;9.803884646;0.172799816;179.1799874;-0.999897586
1.329560677;9.868998558;0.173970433;179.1552234;-0.999891307
1.328443827;9.826292023;0.173202604;179.3240711;-0.999930414
1.327328853;9.85370355;0.173695418;179.1548297;-0.999891206
1.326215748;9.838131593;0.17341545;179.0096919;-0.999850633
1.325104508;9.863857133;0.173877984;179.1963027;-0.999901621
1.323995129;9.839925827;0.173447707;179.279966;-0.999921037
1.322887607;9.806024406;0.172838278;178.9218323;-0.999822955
1.321781935;9.863544375;0.17387236;179.1375559;-0.999886713
1.32067811;9.833106349;0.173325106;179.0500024;-0.999862545
1.319576128;9.853074967;0.173684116;179.0390394;-0.999859355
1.318475983;9.816967328;0.17303498;179.2067277;-0.999904157
1.31737767;9.86895823;0.173969708;179.1523348;-0.999890563
